hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
Kepler-1336,2,5.77721211,23.198681,0.06272,0.15845,2016,1126.64,296.2776587,46.8998006
Kepler-134,2,5.317429,10.105785,0.06,0.092,2014,334.797,284.7391156,49.5984448
Kepler-135,2,6.00253,11.448708,0.067,0.103,2014,621.855,290.4950939,38.7954956
Kepler-1350,2,1.766789062,4.4968604,0.0222,0.0413,2016,340.691,288.250611,46.6794847
Kepler-136,2,11.5789,16.399235,0.106,0.133,2014,420.818,296.4673039,42.5987984
Kepler-1365,2,4.77468005,7.69993485,0.05701,0.07839,2016,840.128,292.1996573,42.0459944
Kepler-137,2,8.436387,18.735753,0.077,0.13,2014,302.979,282.1355875,43.0391951
Kepler-1370,2,7.44142113,20.2641684,0.08084,0.15763,2016,1004.1,284.5656897,41.7784781
Kepler-1371,2,2.00541269,3.4462039,0.02937,0.04214,2016,515.334,288.8314251,47.5519753
Kepler-1398,2,2.78815679,4.13827595,0.03909,0.05087,2016,852.204,294.8661073,48.6389923
Kepler-140,2,3.25427,91.353282,0.045,0.414,2014,583.859,287.3694056,46.7681473
Kepler-141,2,3.107675,7.010606,0.039,0.067,2014,301.183,297.9707271,47.7316041
Kepler-143,2,16.007583,27.082511,0.127,0.181,2014,809.467,298.0676519,49.412541
Kepler-144,2,5.885273,10.104665,0.066,0.094,2014,384.917,281.9156128,42.7755535
Kepler-145,2,22.951,42.882,0.17308,0.26244,2013,566.85,291.3877397,44.5290465
Kepler-146,2,31.158799,76.732171,0.2,0.364,2014,716.797,294.1107631,38.7102222
Kepler-1464,2,5.32786292,31.7785901,0.06101,0.20066,2016,1151.73,287.2356828,38.7540824
Kepler-147,2,12.610584,33.416423,0.113,0.216,2014,1042.02,287.9757213,39.087168
Kepler-1471,2,3.63899398,11.6044881,0.0453,0.0981,2016,978.678,289.6649171,50.0200612
Kepler-1487,2,7.31946363,35.8007112,0.0898,0.2588,2016,1014.62,295.4980737,38.6444499
Kepler-1488,2,6.158269882,39.8189932,0.06959,0.24153,2016,905.825,286.6464265,49.9377735
Kepler-1491,2,16.5861762,61.569765,0.127,0.3045,2016,2065.59,293.6297645,45.7406293
Kepler-151,2,15.228958,24.674612,0.116,0.16,2014,649.919,292.1627933,41.0231947
Kepler-1514,2,10.514181,217.83184,0.0997,0.753,2016,397.292,292.6274943,37.8601653
Kepler-1518,2,5.11177904,9.6310258,0.0593,0.0905,2016,903.51,300.3323404,44.9861065
Kepler-152,2,18.207973,88.255055,0.124,0.356,2014,441.09,286.8653826,41.9889571
Kepler-153,2,18.870227,46.90232,0.129,0.237,2014,459.368,282.460502,48.2570293
Kepler-155,2,5.931194,52.661793,0.056,0.242,2014,293.499,288.4957831,51.0819286
Kepler-156,2,4.973456,15.906801,0.054,0.117,2014,443.483,290.2964214,37.7494271
Kepler-158,2,16.709184,28.551383,0.111,0.158,2014,315.177,284.0323723,39.7815365
Kepler-159,2,10.139623,43.595792,0.082,0.218,2014,373.744,297.0702037,40.868734
Kepler-160,2,4.309397,13.699429,0.05511,0.1192,2014,937.013,287.773573,42.8692755
Kepler-1600,2,7.298049927,386.370548,0.06961,0.98141,2016,1030.81,291.3993802,38.7877563
Kepler-161,2,4.921355,7.06424,0.054,0.068,2014,434.632,290.5164698,43.0838642
Kepler-1610,2,8.70181574,44.9851885,0.0777,0.2323,2016,864.331,295.9049795,45.4054296
Kepler-162,2,6.919798,19.446355,0.069,0.137,2014,855.641,297.2789115,43.7239693
Kepler-163,2,7.810937,21.347262,0.078,0.152,2014,689.814,295.0027458,46.9873389
Kepler-1641,2,19.672266,32.657212,0.1473,0.2065,2016,860.37,296.359456,41.5745321
Kepler-1642,2,6.6513802,12.2057513,0.0678,0.1016,2016,413.873,297.2121215,43.643789
Kepler-1649,2,8.689099,19.53527,0.0514,0.0649,2017,92.1913,292.5029676,41.8299933
Kepler-165,2,8.180848,15.31299,0.072,0.11,2014,560.885,280.69092,47.8096702
Kepler-1656,2,31.562,1919.0,0.1974,3.053,2018,185.875,284.4722473,39.911889
Kepler-1666,2,25.8476,40.7157,0.1761,0.2383,2020,1379.37,297.9516071,46.2647024
Kepler-168,2,4.425391,13.193242,0.056,0.116,2014,1343.6,294.7101832,39.8250437
Kepler-1693,2,5.363709927,12.0999,0.0588,0.1011,2020,760.065,290.2015581,48.1857799
Kepler-170,2,7.930592,16.665863,0.08,0.131,2014,738.657,284.5211975,41.6296562
Kepler-173,2,4.263742,8.005777,0.048,0.074,2014,833.165,294.6466171,41.8840952
Kepler-175,2,11.903515,34.035257,0.105,0.213,2014,1312.34,289.553232,43.876116
Kepler-177,2,36.8601,49.40926,0.21101,0.25655,2013,1435.44,286.0471442,45.0532038
Kepler-179,2,2.735926,6.40013,0.036,0.064,2014,605.68,298.6636163,47.7619329
Kepler-180,2,13.817124,41.885775,0.109,0.229,2014,695.65,295.5712566,49.774514
Kepler-1801,2,10.44089985,116.583183,0.0915,0.4572,2021,839.332,295.1640095,39.2014024
Kepler-1802,2,15.45020008,33.13610077,0.0662,0.1748,2021,636.694,300.2420869,44.1412854
Kepler-181,2,3.137873,4.302149,0.04,0.049,2014,609.283,296.1512831,50.0957806
Kepler-1814,2,0.626281766,2.935359955,0.0133,0.03765,2021,726.346,285.2166767,41.2824449
Kepler-182,2,9.825792,20.684342,0.096,0.157,2014,1549.09,289.8301128,50.5862025
Kepler-183,2,5.687945,11.637071,0.064,0.103,2014,1050.64,293.5308112,39.3159329
Kepler-1834,2,0.766691517,4.603010178,0.015,0.04911,2021,500.395,294.6646789,39.7838461
Kepler-185,2,1.6329,20.729042,0.026,0.139,2014,466.735,282.4681674,43.8899464
Kepler-1859,2,2.729599953,3.59645081,0.0394,0.0473,2021,1331.25,293.9886751,46.7179996
Kepler-1869,2,1.716828304,8.167360306,0.028,0.07976,2021,113.025,292.6149958,42.7643438
Kepler-187,2,4.938864,10.640263,0.059,0.099,2014,1143.0,299.7964955,44.0892448
Kepler-188,2,2.061897,5.996553,0.032,0.066,2014,968.544,281.2797173,44.3154743
Kepler-189,2,10.399931,20.134866,0.088,0.137,2014,591.534,287.5646296,44.3050662
Kepler-1894,2,2.762660027,5.05368985,0.0385,0.0576,2021,935.191,295.5864604,49.6668523
Kepler-19,2,9.28699,28.731,0.0846,0.1765736996,2011,218.562,290.4209694,37.8516556
Kepler-190,2,2.019999,3.763024,0.03,0.045,2014,433.387,288.5839761,44.7337701
Kepler-1907,2,5.652450085,14.86390018,0.05444,0.10371,2021,292.111,280.7085829,47.3279236
Kepler-1921,2,3.15722086,20.03479958,0.0454,0.15865,2021,928.989,300.3161723,45.4953271
Kepler-193,2,11.38848,50.697494,0.106,0.286,2014,1009.1,296.4985951,46.5772484
Kepler-195,2,8.307872,34.096863,0.077,0.197,2014,652.051,288.1209339,47.9666141
Kepler-1972,2,7.54425,11.3295,0.08006,0.10493,2022,287.339,288.3953074,39.8725067
Kepler-199,2,23.637604,67.093408,0.158,0.316,2014,521.054,295.5594278,40.236249
