pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,6.584,0.0733,3.06,0.273,,,1239.0,1.26,1.21,6196.0,62.5388,86.7761233,-10.6303217,2025-08-09T19:18:00.759752
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,18.57,0.1462,5.29,0.472,,,877.0,1.26,1.21,6196.0,62.5388,86.7761233,-10.6303217,2025-08-09T19:18:00.759753
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,5.2072,0.0664,14.3,1.28,,,1000.0,1.78,1.44,6500.0,137.94,27.407731,-34.4590985,2025-08-09T19:18:00.759754
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,6.6732,0.0662,1.41,0.126,,,854.0,0.91,0.87,5138.0,45.23,91.624382,-72.5126648,2025-08-09T19:18:00.759756
DMPP-4 b,DMPP-4,1,1,Radial Velocity,2023,3.4982,0.04853,3.53,0.315,,,,1.38,1.25,6400.0,25.3284,293.5826648,51.2358069,2025-08-09T19:18:00.759757
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,10220.0,8.19,12.7,1.14,1995.88832,6.28,,0.0115,0.69,13500.0,305.684,169.3162193,17.9615717,2025-08-09T19:18:00.759759
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,6.7987,0.0349,1.047,0.09340708,,,,0.282,0.287,3648.0,134.0,170.1408561,-4.8070039,2025-08-09T19:18:00.759760
EPIC 201595106 b,EPIC 201595106,1,2,Transit,2021,0.87724,0.0177,1.565,0.13962019,7.67,0.024132518777656,2038.0,0.98,0.958,5679.0,232.1,183.7203635,1.9681688,2025-08-09T19:18:00.759762
K2-360 c,EPIC 201595106,1,2,Radial Velocity,2024,9.79692,0.0883,4.02,0.359,,,912.0,0.98,0.958,5679.0,232.1,183.7203635,1.9681688,2025-08-09T19:18:00.759763
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,2.0478,0.0296,0.90819,0.08102328,,,,0.655,0.727,4520.0,577.6,173.9385102,4.6164303,2025-08-09T19:18:00.759764
